ID1	ID2	O	OHA	OHB	OLA	OLB	K	CIG
0	1	N	-11	-9	5	4	1	1D4M
0	1	N	-10	-10	4	5	1	1I4M
0	1	N	-10	-9	5	5	0	5M
0	1	N	-10	-8	6	5	1	5M1D
0	1	N	-9	-9	5	6	1	1I5M
0	2	I	4	-5	5	5	1	5M
0	2	I	5	-5	4	5	1	1I4M
0	2	I	5	-4	5	5	0	5M
0	2	I	5	-3	6	5	1	1D5M
0	2	I	6	-4	4	5	1	1I4M
0	2	I	6	-3	5	5	0	5M
0	2	I	6	-2	6	5	1	1D5M
0	2	I	7	-3	4	5	1	1I4M
0	2	I	7	-2	5	5	0	5M
0	2	I	7	-1	6	5	1	1D5M
0	2	I	8	-2	4	5	1	1I4M
0	2	I	8	-1	5	5	0	5M
0	2	I	8	0	6	5	1	1D5M
0	2	I	9	-1	4	5	1	1I4M
0	2	I	9	0	5	5	0	5M
0	2	I	9	1	5	4	1	1D4M
0	2	I	10	0	4	5	1	1I4M
1	2	N	4	-6	5	5	1	5M
1	2	N	5	-6	4	5	1	1I4M
1	2	N	5	-5	5	5	0	5M
1	2	N	6	-5	4	5	1	1I4M
1	2	N	6	-4	5	5	1	5M
