ID1	ID2	O	OHA	OHB	OLA	OLB	K	CIG
0	2	N	25	29	225	221	4	4D221M
0	2	N	26	29	224	221	3	3D221M
0	2	N	27	29	223	221	2	2D221M
0	2	N	28	29	222	221	1	1D221M
0	2	N	29	25	221	225	4	221M4I
0	2	N	29	26	221	224	3	221M3I
0	2	N	29	27	221	223	2	221M2I
0	2	N	29	28	221	222	1	221M1I
0	2	N	29	29	221	221	0	221M
0	2	N	29	30	221	220	1	220M1D
0	2	N	29	31	221	219	2	219M2D
0	2	N	29	32	221	218	3	218M3D
0	2	N	29	33	221	217	4	217M4D
0	2	N	30	29	220	221	1	1I220M
0	2	N	31	29	219	221	2	2I219M
0	2	N	32	29	218	221	3	3I218M
0	2	N	33	29	217	221	4	4I217M
10	13	I	-120	-120	130	130	1	130M
10	14	I	-160	-159	91	90	1	1D90M
10	14	I	-159	-160	90	91	1	90M1I
10	14	I	-159	-159	91	91	0	91M
10	14	I	-159	-158	92	91	1	91M1D
10	14	I	-158	-159	91	92	1	1I91M
10	5	I	132	134	118	116	2	2D116M
10	5	I	133	134	117	116	1	1D116M
10	5	I	134	132	116	118	2	116M2I
10	5	I	134	133	116	117	1	116M1I
10	5	I	134	134	116	116	0	116M
10	5	I	134	135	116	115	1	115M1D
10	5	I	134	136	116	114	2	114M2D
10	5	I	135	134	115	116	1	1I115M
10	5	I	136	134	114	116	2	2I114M
10	6	N	109	111	141	139	2	2D139M
10	6	N	110	111	140	139	1	1D139M
10	6	N	111	109	139	141	2	139M2I
10	6	N	111	110	139	140	1	139M1I
10	6	N	111	111	139	139	0	139M
10	6	N	111	112	139	138	1	138M1D
10	6	N	111	113	139	137	2	137M2D
10	6	N	112	111	138	139	1	1I138M
10	6	N	113	111	137	139	2	2I137M
10	7	I	82	84	168	166	3	2D166M
10	7	I	83	84	167	166	2	1D166M
10	7	I	84	82	166	168	3	166M2I
10	7	I	84	83	166	167	2	166M1I
10	7	I	84	84	166	166	1	166M
10	7	I	84	85	166	165	2	165M1D
10	7	I	84	86	166	164	3	164M2D
10	7	I	85	84	165	166	2	1I165M
10	7	I	86	84	164	166	3	2I164M
10	8	I	24	28	226	222	4	4D222M
10	8	I	25	28	225	222	3	3D222M
10	8	I	26	28	224	222	2	2D222M
10	8	I	27	28	223	222	1	1D222M
10	8	I	28	24	222	226	4	222M4I
10	8	I	28	25	222	225	3	222M3I
10	8	I	28	26	222	224	2	222M2I
10	8	I	28	27	222	223	1	222M1I
10	8	I	28	28	222	222	0	222M
10	8	I	28	29	222	221	1	221M1D
10	8	I	28	30	222	220	2	220M2D
10	8	I	28	31	222	219	3	219M3D
10	8	I	28	32	222	218	4	218M4D
10	8	I	29	28	221	222	1	1I221M
10	8	I	30	28	220	222	2	2I220M
10	8	I	31	28	219	222	3	3I219M
10	8	I	32	28	218	222	4	4I218M
10	9	I	10	14	240	236	4	4D236M
10	9	I	11	14	239	236	3	3D236M
10	9	I	12	14	238	236	2	2D236M
10	9	I	13	14	237	236	1	1D236M
10	9	I	14	10	236	240	4	236M4I
10	9	I	14	11	236	239	3	236M3I
10	9	I	14	12	236	238	2	236M2I
10	9	I	14	13	236	237	1	236M1I
10	9	I	14	14	236	236	0	236M
10	9	I	14	15	236	235	1	235M1D
10	9	I	14	16	236	234	2	234M2D
10	9	I	14	17	236	233	3	233M3D
10	9	I	14	18	236	232	4	232M4D
10	9	I	15	14	235	236	1	1I235M
10	9	I	16	14	234	236	2	2I234M
10	9	I	17	14	233	236	3	3I233M
10	9	I	18	14	232	236	4	4I232M
11	4	I	-136	-137	113	114	2	113M1I
11	4	I	-136	-136	114	114	1	114M
11	4	I	-136	-135	115	114	2	114M1D
12	5	I	169	169	81	81	1	81M
12	6	N	145	146	105	104	2	1D104M
12	6	N	146	146	104	104	1	104M
12	6	N	147	146	103	104	2	1I103M
12	7	I	118	119	132	131	2	1D131M
12	7	I	119	119	131	131	1	131M
12	7	I	120	119	130	131	2	1I130M
12	8	I	61	63	189	187	3	2D187M
12	8	I	62	63	188	187	2	1D187M
12	8	I	63	63	187	187	1	187M
12	8	I	64	63	186	187	2	1I186M
12	8	I	65	63	185	187	3	2I185M
12	9	I	47	49	203	201	4	2D201M
12	9	I	48	49	202	201	3	1D201M
12	9	I	49	49	201	201	2	201M
12	9	I	50	49	200	201	3	1I200M
12	9	I	51	49	199	201	4	1M2I198M
12	9	I	52	49	198	201	4	3I198M
13	14	N	39	39	211	211	2	211M
13	8	N	-148	-149	101	102	2	101M1I
13	8	N	-148	-148	102	102	1	102M
13	8	N	-148	-147	103	102	2	102M1D
13	9	N	-134	-135	115	116	2	115M1I
13	9	N	-134	-134	116	116	1	116M
13	9	N	-134	-133	117	116	2	116M1D
14	8	N	-188	-187	63	62	1	1D62M
14	8	N	-187	-188	62	63	1	62M1I
14	8	N	-187	-187	63	63	0	63M
14	8	N	-187	-186	64	63	1	63M1D
14	8	N	-186	-187	63	64	1	1I63M
14	9	N	-174	-173	77	76	1	1D76M
14	9	N	-173	-174	76	77	1	76M1I
14	9	N	-173	-173	77	77	0	77M
14	9	N	-173	-172	78	77	1	77M1D
14	9	N	-172	-173	77	78	1	1I77M
3	4	I	121	121	129	129	1	129M
5	6	I	19	23	231	227	4	4D227M
5	6	I	20	23	230	227	3	3D227M
5	6	I	21	23	229	227	2	2D227M
5	6	I	22	23	228	227	1	1D227M
5	6	I	23	19	227	231	4	227M4I
5	6	I	23	20	227	230	3	227M3I
5	6	I	23	21	227	229	2	227M2I
5	6	I	23	22	227	228	1	227M1I
5	6	I	23	23	227	227	0	227M
5	6	I	23	24	227	226	1	226M1D
5	6	I	23	25	227	225	2	225M2D
5	6	I	23	26	227	224	3	224M3D
5	6	I	23	27	227	223	4	223M4D
5	6	I	24	23	226	227	1	1I226M
5	6	I	25	23	225	227	2	2I225M
5	6	I	26	23	224	227	3	3I224M
5	6	I	27	23	223	227	4	4I223M
5	7	N	49	50	201	200	2	1D200M
5	7	N	50	47	200	203	4	200M3I
5	7	N	50	48	200	202	3	200M2I
5	7	N	50	49	200	201	2	200M1I
5	7	N	50	50	200	200	1	200M
5	7	N	50	51	200	199	2	199M1D
5	7	N	50	52	200	198	3	198M2D
5	7	N	50	53	200	197	4	197M3D
5	8	N	104	106	146	144	2	2D144M
5	8	N	105	106	145	144	1	1D144M
5	8	N	106	104	144	146	2	144M2I
5	8	N	106	105	144	145	1	144M1I
5	8	N	106	106	144	144	0	144M
5	8	N	106	107	144	143	1	143M1D
5	8	N	106	108	144	142	2	142M2D
5	8	N	107	106	143	144	1	1I143M
5	8	N	108	106	142	144	2	2I142M
5	9	N	118	120	132	130	2	2D130M
5	9	N	119	120	131	130	1	1D130M
5	9	N	120	118	130	132	2	130M2I
5	9	N	120	119	130	131	1	130M1I
5	9	N	120	120	130	130	0	130M
5	9	N	120	121	130	129	1	129M1D
5	9	N	120	122	130	128	2	128M2D
5	9	N	121	120	129	130	1	1I129M
5	9	N	122	120	128	130	2	2I128M
6	7	I	-27	-27	223	223	1	223M
6	8	I	-86	-83	167	164	3	3D164M
6	8	I	-85	-83	167	165	2	2D165M
6	8	I	-84	-83	167	166	1	1D166M
6	8	I	-83	-86	164	167	3	164M3I
6	8	I	-83	-85	165	167	2	165M2I
6	8	I	-83	-84	166	167	1	166M1I
6	8	I	-83	-83	167	167	0	167M
6	8	I	-83	-82	168	167	1	167M1D
6	8	I	-83	-81	169	167	2	167M2D
6	8	I	-83	-80	170	167	3	167M3D
6	8	I	-82	-83	167	168	1	1I167M
6	8	I	-81	-83	167	169	2	2I167M
6	8	I	-80	-83	167	170	3	3I167M
6	9	I	-100	-97	153	150	3	3D150M
6	9	I	-99	-97	153	151	2	2D151M
6	9	I	-98	-97	153	152	1	1D152M
6	9	I	-97	-100	150	153	3	150M3I
6	9	I	-97	-99	151	153	2	151M2I
6	9	I	-97	-98	152	153	1	152M1I
6	9	I	-97	-97	153	153	0	153M
6	9	I	-97	-96	154	153	1	153M1D
6	9	I	-97	-95	155	153	2	153M2D
6	9	I	-97	-94	156	153	3	153M3D
6	9	I	-96	-97	153	154	1	1I153M
6	9	I	-95	-97	153	155	2	2I153M
6	9	I	-94	-97	153	156	3	3I153M
7	8	N	55	56	195	194	2	1D194M
