ID1	ID2	O	OHA	OHB	OLA	OLB	K	CIG
0	2	N	29	27	221	223	3	220M2I1M
0	2	N	29	28	221	222	2	220M1I1M
0	2	N	29	29	221	221	0	221M
0	2	N	29	30	221	220	2	219M1D1M
0	2	N	29	31	221	219	3	218M2D1M
10	6	N	111	110	139	140	2	138M1I1M
10	6	N	111	111	139	139	0	139M
10	6	N	111	112	139	138	2	137M1D1M
11	15	N	207	207	43	43	0	43M
12	18	N	-226	-226	24	24	0	24M
13	8	N	-148	-148	102	102	1	102M
14	16	N	66	65	184	185	2	183M1I1M
14	16	N	66	66	184	184	1	184M
14	17	N	76	75	174	175	1	173M1I1M
14	17	N	76	76	174	174	0	174M
14	17	N	76	77	174	173	2	172M1D1M
14	17	N	76	78	174	172	2	171M2D1M
14	8	N	-187	-187	63	63	0	63M
14	9	N	-173	-174	76	77	1	75M1I1M
14	9	N	-173	-173	77	77	0	77M
14	9	N	-173	-172	78	77	1	76M1D1M
16	24	N	224	224	26	26	0	26M
17	24	N	214	214	36	36	0	36M
18	23	N	-187	-187	63	63	0	63M
18	26	N	-219	-219	31	31	0	31M
19	20	N	-3	-5	244	246	3	243M2I1M
19	20	N	-3	-4	245	246	2	244M1I1M
19	20	N	-3	-3	246	246	0	246M
19	20	N	-3	-2	247	246	2	245M1D1M
19	20	N	-3	-1	248	246	3	245M2D1M
19	22	N	-115	-115	134	135	2	133M1I1M
19	22	N	-115	-114	135	135	0	135M
19	22	N	-115	-113	136	135	1	134M1D1M
19	27	N	-194	-193	56	56	0	56M
20	22	N	-112	-112	137	138	2	136M1I1M
20	22	N	-112	-111	138	138	0	138M
20	22	N	-112	-110	139	138	1	137M1D1M
20	27	N	-191	-190	59	59	0	59M
21	23	N	-50	-52	198	200	2	197M2I1M
21	23	N	-50	-51	199	200	2	198M1I1M
21	23	N	-50	-50	200	200	0	200M
21	23	N	-50	-49	201	200	2	199M1D1M
21	23	N	-50	-48	202	200	3	199M2D1M
21	26	N	-82	-83	167	168	2	166M1I1M
21	26	N	-82	-82	168	168	0	168M
21	26	N	-82	-81	169	168	1	167M1D1M
21	28	N	-107	-107	143	143	1	143M
21	28	N	-107	-106	144	143	2	142M1D1M
21	30	N	-181	-181	69	69	0	69M
21	30	N	-181	-180	70	69	1	68M1D1M
22	27	N	-79	-80	170	171	2	169M1I1M
22	27	N	-79	-79	171	171	0	171M
22	27	N	-79	-78	172	171	2	170M1D1M
22	29	N	-129	-129	121	121	0	121M
23	26	N	-32	-35	215	218	3	214M3I1M
23	26	N	-32	-34	216	218	3	215M2I1M
23	26	N	-32	-33	217	218	2	216M1I1M
23	26	N	-32	-32	218	218	0	218M
23	26	N	-32	-31	219	218	1	217M1D1M
23	26	N	-32	-30	220	218	3	217M2D1M
23	28	N	-57	-57	193	193	1	193M
23	30	N	-131	-131	119	119	0	119M
23	30	N	-131	-130	120	119	1	118M1D1M
23	31	N	-191	-192	58	58	0	58M
25	27	N	-29	-31	219	221	3	218M2I1M
25	27	N	-29	-30	220	221	2	219M1I1M
25	27	N	-29	-29	221	221	0	221M
25	27	N	-29	-28	222	221	2	220M1D1M
25	27	N	-29	-27	223	221	3	220M2D1M
25	29	N	-79	-80	170	171	2	169M1I1M
25	29	N	-79	-79	171	171	0	171M
25	29	N	-79	-78	172	171	2	170M1D1M
25	32	N	-192	-192	58	58	0	58M
25	33	N	-219	-219	31	31	0	31M
26	28	N	-25	-25	225	225	2	225M
26	30	N	-99	-99	151	151	2	151M
26	31	N	-159	-160	90	90	1	90M
27	29	N	-50	-53	197	200	3	196M3I1M
27	29	N	-50	-52	198	200	3	197M2I1M
27	29	N	-50	-51	199	200	2	198M1I1M
27	29	N	-50	-50	200	200	0	200M
27	29	N	-50	-49	201	200	2	199M1D1M
27	29	N	-50	-48	202	200	3	199M2D1M
27	29	N	-50	-47	203	200	3	199M3D1M
27	32	N	-163	-163	87	87	0	87M
27	33	N	-190	-190	60	60	0	60M
27	35	N	-217	-217	33	33	0	33M
28	31	N	-134	-136	114	115	1	113M1I1M
28	31	N	-134	-135	115	115	0	115M
28	34	N	-199	-199	51	51	0	51M
29	32	N	-113	-114	136	137	2	135M1I1M
29	32	N	-113	-113	137	137	0	137M
29	32	N	-113	-112	138	137	2	136M1D1M
29	33	N	-140	-140	110	110	0	110M
29	35	N	-167	-167	83	83	0	83M
30	34	N	-125	-125	125	125	0	125M
30	37	N	-169	-169	81	81	0	81M
31	37	N	-109	-108	141	141	1	141M
31	39	N	-178	-178	71	71	1	71M
31	41	N	-201	-200	49	49	0	49M
32	35	N	-54	-55	195	196	2	194M1I1M
32	35	N	-54	-54	196	196	0	196M
32	35	N	-54	-53	197	196	2	195M1D1M
32	39	N	-163	-164	86	86	0	86M
33	35	N	-27	-29	221	223	3	220M2I1M
33	35	N	-27	-28	222	223	2	221M1I1M
33	35	N	-27	-27	223	223	0	223M
33	35	N	-27	-26	224	223	2	222M1D1M
33	35	N	-27	-25	225	223	3	222M2D1M
33	35	N	-27	-24	226	223	3	222M3D1M
33	39	N	-136	-137	113	113	0	113M
33	43	N	-211	-211	39	39	0	39M
33	44	N	-214	-215	35	35	0	35M
34	37	N	-44	-45	205	206	3	204M1I1M
34	37	N	-44	-44	206	206	1	206M
34	37	N	-44	-43	207	206	3	205M1D1M
34	41	N	-136	-136	114	114	0	114M
34	42	N	-187	-187	63	63	0	63M
35	39	N	-109	-111	139	140	2	138M1I1M
35	39	N	-109	-110	140	140	0	140M
35	39	N	-109	-109	141	140	2	139M1D1M
35	43	N	-184	-184	66	66	0	66M
36	39	N	-80	-82	168	169	2	167M1I1M
36	39	N	-80	-81	169	169	0	169M
36	39	N	-80	-80	170	169	2	168M1D1M
36	43	N	-155	-155	95	95	0	95M
38	40	N	82	81	168	169	2	167M1I1M
38	40	N	82	82	168	168	1	168M
38	40	N	82	83	168	167	2	166M1D1M
38	45	N	196	196	54	54	0	54M
39	43	N	-75	-75	174	175	2	173M1I1M
39	43	N	-75	-74	175	175	0	175M
39	43	N	-75	-73	176	175	2	174M1D1M
40	45	N	114	113	136	137	2	135M1I1M
40	45	N	114	114	136	136	0	136M
40	45	N	114	115	136	135	2	134M1D1M
40	45	N	114	116	136	134	2	133M2D1M
40	47	N	162	162	88	88	0	88M
45	47	N	48	46	202	204	3	201M2I1M
45	47	N	48	47	202	203	2	201M1I1M
45	47	N	48	48	202	202	0	202M
45	47	N	48	49	202	201	2	200M1D1M
45	47	N	48	50	202	200	3	199M2D1M
45	49	N	88	88	162	162	1	162M
5	7	N	50	50	200	200	1	200M
5	8	N	106	104	144	146	2	143M2I1M
5	8	N	106	105	144	145	2	143M1I1M
5	8	N	106	106	144	144	0	144M
5	8	N	106	107	144	143	2	142M1D1M
5	9	N	120	120	130	130	0	130M
7	8	N	56	56	194	194	1	194M
7	9	N	70	70	180	180	1	180M
